Date,Open,High,Low,Close,Adj Close,Volume
2022-03-26,1.001161,1.010314,0.997465,1.002079,1.002079,15660147
2022-03-27,1.002138,1.006971,0.996367,0.999369,0.999369,2189587
2022-03-28,0.999343,1.005309,0.993552,0.995903,0.995903,1172647
2022-03-29,0.995563,1.004710,0.995563,1.000635,1.000635,2310469
2022-03-30,1.000632,1.001178,0.999882,0.999898,0.999898,1907143
2022-03-31,0.999901,1.002613,0.991338,0.996197,0.996197,5268274
2022-04-01,0.996395,1.005971,0.991409,0.997378,0.997378,8647568
2022-04-02,0.997417,1.003995,0.995751,0.997010,0.997010,10622038
2022-04-03,0.996909,1.002157,0.996895,1.001718,1.001718,217956
2022-04-04,1.001700,1.002120,0.996374,0.998825,0.998825,6966392
2022-04-05,0.998830,1.001293,0.993081,0.998165,0.998165,1839793
2022-04-06,0.998153,1.001208,0.992540,0.994259,0.994259,2062124
2022-04-07,0.994464,1.002917,0.992971,1.000053,1.000053,4792035
2022-04-08,1.000051,1.001403,0.992217,0.994820,0.994820,4613351
2022-04-09,0.994718,1.001055,0.994718,1.000143,1.000143,252591
2022-04-10,1.000067,1.002114,0.995120,0.996076,0.996076,853265
2022-04-11,0.995888,1.000567,0.988406,0.992395,0.992395,46940809
2022-04-12,0.992504,0.998632,0.988686,0.994780,0.994780,6680435
2022-04-13,0.994684,0.998208,0.989744,0.994468,0.994468,25022727
2022-04-14,0.994307,0.998868,0.987663,0.996452,0.996452,48685204
2022-04-15,0.996463,0.997782,0.989885,0.994976,0.994976,2564287
2022-04-16,0.994910,0.998250,0.989966,0.996076,0.996076,582320
2022-04-17,0.996110,1.000122,0.988914,0.990623,0.990623,174927
2022-04-18,0.990722,1.004090,0.990053,0.996146,0.996146,3198849
2022-04-19,0.996163,1.000332,0.991210,0.997147,0.997147,1492942
2022-04-20,0.997123,1.001739,0.991222,0.996089,0.996089,1765696
2022-04-21,0.996070,1.004221,0.989368,0.995360,0.995360,9560951
2022-04-22,0.995301,1.001117,0.993020,0.995317,0.995317,2232406
2022-04-23,0.995321,0.998446,0.992577,0.995578,0.995578,104124
2022-04-24,0.995443,1.000334,0.991845,0.994850,0.994850,109612
2022-04-25,0.995193,1.003311,0.989216,0.997502,0.997502,1764706
